,From which University or Institute did you create a spinout?,Uni Location,Year Founded,Department Name,Product Type,Spinout Location,Was your spinout clearly founded on IP that you developed at University?,Did your spinout have hired-in leadership in addition to founders?,Equity: What % of your company did your University/TTO own upon founding and before any investment was raised?,"Equity: Does the equity dilute alongside you or is it protected until you raise $Xm of external capital (i.e. ""golden share"")?",Royalties: What % of net sales does your University/TTO receive?,Upfront payments: Did you pay any to your University/TTO?,Milestone payments: What is the aggregate sum of milestones payable to your University/TTO?,Exit fees: What % of exit proceeds are due to your University/TTO?,Did your University/TTO require a board seat in your spinout?,How many months did your deal take to complete from start to finish?,How much $USD did you raise in connection with your spinout deal?,How much $USD did you raise in your first financing round after you spun out?,How much $USD has your spinout raised in total to date?,What stage is your spinout today?,"Based on your experience, how would you rate the spinout process?",Have you donated money to the University from which you spun out?,Do you intend to become a significant donor if your spinout is successful?
51,Imperial College London,UK,2016,Computer Science,Software,"London, UK",No,No,10%,no value,0%,$0,$0,0%,No,9,$0,"$1,250,000","$11,250,000",Series A,2,No,Yes
52,University of Cambridge,UK,2018,Clinical Medicine,Diagnostic,"Cambridge, UK",No,Yes,0%,no value,0%,"$66,500",$0,0%,No,3,$0,"$11,000,000","$11,000,000",Seed,6,No,No
53,University of Oxford,UK,2016,Engineering,Software,"Oxford, UK",Yes,Yes,38%,no value,0%,$0,$0,0%,Yes,6,$0,"$1,200,000","$10,000,000",Series A,4,No,No
54,University of Warwick,UK,2020,Biology,Therapeutic,"Warwickshire, UK",Yes,No,50%,no value,1%,$0,$0,0%,Yes,3,$0,"$800,000","$9,000,000",Seed,9,No,Yes
55,Imperial College London,UK,2017,Engineering,Software,UK,Yes,Yes,50%,no value,15%,"$300,000",$0,0%,Yes,38,$0,"$1,900,000","$5,000,000",Series A,0,No,No
56,University of Hull,UK,1984,Electrical Engineering,Software,"Hull, UK",Yes,Yes,0%,no value,0%,$0,$0,0%,No,0,$0,"$25,000","$5,000,000",M&A exit,8,No,No
57,Imperial College London,UK,2019,Neuroscience,Software,"London, UK",No,No,0%,no value,0%,$0,$0,0%,No,5,$0,"$650,000","$4,000,000",Seed,1,No,No
58,University of Oxford,UK,2017,Computer Science,Software,"Oxford, UK",No,Yes,18%,no value,0%,$0,$0,0%,Yes,9,$0,"$2,000,000","$2,500,000",M&A exit,0,No,No
59,UCL,UK,2014,Computer Science,Software,"San Francisco, CA, USA",No,No,0%,no value,0%,$0,$0,0%,No,1,$0,"$2,500,000","$2,500,000",M&A exit,5,No,Yes
60,UCL,UK,2019,Computer Science,Software,"London, UK",Yes,No,10%,no value,10%,$0,$0,0%,No,12,$0,"$1,000,000","$2,000,000",Seed,5,No,Yes
61,University of Bristol,UK,2010,Computer Science,Software,"London, UK",Yes,No,5%,no value,0%,$0,$0,5%,No,5,$0,"$60,000","$1,500,000",Seed,3,No,No
62,Imperial College London,UK,2019,Computer Science,Software,"London, UK",Yes,No,0%,no value,0%,$0,$0,0%,No,12,$0,"$1,000,000","$1,000,000",Seed,0,No,No
63,University of Oxford,UK,2018,Physics,Software,"London, UK",Yes,Yes,20%,no value,0%,$0,$0,0%,Yes,6,$0,"$100,000","$850,000",Seed,2,No,Yes
64,Imperial College London,UK,2019,Engineering,Software,"London, UK",No,Yes,0%,Protected,0%,$0,$0,0%,No,0,$0,"$350,000","$500,000",Seed,10,No,Yes
65,University of Oxford,UK,2021,Chemistry,Therapeutic,"London, UK",No,No,5%,no value,0%,"$15,180","$13,800",0%,No,5,$0,$0,"$145,000",Seed,0,No,No
66,University of Oxford,UK,2020,Engineering,Hardware,"Oxford, UK",Yes,No,10%,no value,0%,$0,$0,0%,No,9,$0,"$120,000","$120,000",Seed,6,No,No
67,University of Oxford,UK,2021,Clinical Medicine,Software,"Oxford, UK",Yes,Yes,15%,no value,0%,$0,$0,0%,Yes,9,$0,"$100,000","$100,000",Pre-funding,8,No,Yes
68,University of Cambridge,UK,2017,Engineering,Materials,"Cambridge, UK",Yes,No,3%,Dilutes,0%,$0,$0,0%,Yes,12,$0,$4,$85,Series B,5,No,No
69,University of Oxford,UK,2021,Engineering,Materials,"Oxford, UK",Yes,Yes,15%,no value,0%,"$45,000",$0,0%,Yes,12,$0,no value,$80,Pre-funding,1,No,Yes
70,Newcastle University,UK,2017,Computer Science,Software,"Newcastle, UK",Yes,No,40%,no value,0%,$0,$0,0%,No,0,$0,$0,$0,No longer alive,3,No,No
71,UCL,UK,2018,Computer Science,Software,"London, UK",Yes,No,7%,no value,0%,$0,$0,0%,No,4,$0,$0,$0,M&A exit,3,No,No
72,UCL,UK,2020,Computer Science,Software,"London, UK",Yes,Yes,6%,no value,0%,$0,$0,0%,No,6,$0,$0,$0,No longer alive,8,No,No
73,University of Cambridge,UK,2021,Engineering,Software,"London, UK",Yes,Yes,0%,no value,0%,$0,$0,0%,No,0,$0,$0,$0,Pre-funding,7,No,Yes
74,UCL,UK,2018,Biotechnology,Therapeutic,"London, UK",Yes,No,62%,no value,2%,"$66,500","$2,094,750",0%,Yes,8,no value,"$266,937","$266,937",Seed,1,No,No
75,TU Delft,EU,2021,Physics,Software,"Delft, Netherlands",Yes,No,5%,no value,0%,$0,$0,0%,No,6,"$2,500,000","$2,500,000","$2,500,000",Seed,6,No,No
